Referência,Backlogs,OS Abertas,OS Não Atendidas,OS Atendidas,Backlogs Atendidos,TME (h),TMA (h),TMS (h),% Atendimento,Índice Crescimento Backlog,Índice Atendimento Backlog,Índice de Reação (TMA/TME)
2025-01,0,136,1,135,0,40.4,115.63,156.02,99.3,,,2.9
2025-02,1,190,19,171,12,24.31,106.22,130.53,90.0,inf,inf,4.4
2025-03,20,221,10,211,31,9.14,18.59,27.73,95.5,1900.0,3100.0,2.0
2025-04,39,8,6,2,1,0.63,0.0,0.63,25.0,95.0,5.0,0.0
